Artist,Born,Died,Movement(s),Descriptors,Sex,Nationality
Frederick George Richard Roth,1872,1944,,Sculptor,Male,American
Frederick H. Evans,1853,1943,,Photographer,Male,British
Frederick J. Waugh,1861,1940,Marine Painting,Painter,Male,American
"Frederick Wellington Ruckstull, Frederick Ruckstull",1853,1942,,Sculptor,Male,American
Frederick William MacMonnies,1863,1937,Beaux-Arts,"Sculptor, Painter",Male,American
Frida Kahlo,1907,1954,"Modern Art, Surrealism",Painter,Female,Mexican
Friedel Dzubas,1915,1994,"Modern Art, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Friedensreich Hundertwasser,1928,2000,Modern Art,"Painter, Sculptor, Architect",Male,Austrian
Fritz Glarner,1899,1972,"Concrete Art, Modern Art",Painter,Male,"Swiss, American"
Fuller Potter,1910,1990,"Modern Art, Abstract Expressionism",Painter,Male,American
Furio Piccirilli,1869,1949,,Sculptor,Male,American
G. Baker,,,,,,American
G. P. Nerli,1860,1926,Modern Art,Painter,Male,Italian
Gabriel Orozco,1962,,Contemporary Art,"Conceptual Art, Installation Art",Male,
Gari Melchers,1860,1932,Beaux-Arts,Painter,Male,American
Garry Winogrand,1928,1984,,Street Photographer,Male,American
Gary Hill,1951,,Contemporary Art,Video Art,Male,
Gary Hume,1962,,Contemporary Art,Painter,Male,
Gaston Lachaise,1882,1935,Art Nouveau,Sculptor,Male,American
Gavin Turk,1967,,Contemporary Art,Sculptor,Male,
Gego,1912,1994,"Modern Art, Geometric Abstraction, Kinetic Art","Sculptor, Architect, Printmaker",Female,Venezuelan
Genco Gulan,1969,,Contemporary Art,"Sculptor, Performance Art",Male,
Gene Davis,1920,1985,"Modern Art, Color Field",Painter,Male,American
Georg Baselitz,1938,,Contemporary Art,Painter,Male,
George Augustus Baker Jr.,,,,,Male,American
George Bellows,1882,1925,"Modern Art, Ashcan School, American Realism",Painter,Male,American
George Brecht,1926,2008,Modern Art,"Conceptual Art, Composer",Male,American
George Caleb  Bingham,1811,1879,Luminism,Painter,Male,American
George Catlin,1796,1872,,Painter,Male,American
George Cochran Lambdin,1830,1896,,Painter,Male,American
George Condo,1957,,Contemporary Art,Painter,Male,American
George de Forest Brush,1855,1941,,Painter,Male,American
George E. Ohr,1857,1918,,"Potter, Ceramicist",Male,American
George Edwin Bissell,1839,1920,,Sculptor,Male,American
George Grey Barnard,1863,1938,,Sculptor,Male,American
George Grosz,1893,1959,"Modern Art, Dadaism, New Objectivity",Painter,Male,German
George Henry Durrie,1820,1863,,Painter,Male,American
George Henry Smillie,1840,1921,Landscape Painting,Painter,Male,American
George Henry Story,,,,,Male,American
George Henry Yewell,1830,1923,,"Painter, Printmaker",Male,American
George Hitchcock,1850,1913,,Painter,Male,American
George Inness,1825,1894,"Hudson River School, Landscape Painting",Painter,Male,American
George Loring Brown,1814,1889,Landscape Painting,Painter,Male,American
George Luks,1867,1933,Realism,Painter,Male,American
"George P. A. Healy, George Peter Alexander Healy",1813,1894,,Painter,Male,American
George Passantino,1922,2004,Modern Art,,Male,American
George Rickey,1907,2002,"Modern Art, Kinetic Art",Sculptor,Male,American
George Segal,1924,2000,"Modern Art, Pop Art",Sculptor,Male,American
George Tooker,1920,2011,"Modern Art, Social Realism, Surrealism",Painter,Male,American
George W. Twibill Jr.,,,,,Male,American
"George Willoughby Maynard, George W. Maynard",1843,1923,,"Painter, Muralist",Male,American
Georges Braque,1882,1963,"Modern Art, Cubism, Fauvism","Painter, Printmaker, Sculptor",Male,French
Georges de Feure,1868,1943,"Art Nouveau, Symbolism","Painter, Designer",Male,French
Georges Rouault,1871,1958,"Fauvism, Expressionism, Modern Art","Painter, Printmaker",Male,French
"Georges-Pierre Seurat, Georges Seurat",1859,1891,"Modern Art, Post-Impressionism, Pointillism",Painter,Male,French
Georgette Seabrooke Powell,1916,2011,Modern Art,"Painter, Muralist",Male,American
Georgia O'Keeffe,1887,1986,"Modern Art, American Modernism",Painter,Female,American
Gerald Murphy,1888,1964,Modern Art,Painter,Male,American
Gerard Byrne,1969,,Contemporary Art,Installation Art,Male,
Gerard Caris,1925,,Contemporary Art,Sculptor,Male,
Gerardus Duyckinck I,,,,,,American
Gerd Leufert,1914,1998,,,Male,Venezuelan
Gerhard Richter,1932,,"Modern Art, Capitalist Realism",Painter,Male,German
Gerrit Rietveld,1888,1964,De Stijl,"Furniture Designer, Architect",Male,Dutch
Gertrude Vanderbilt Whitney,1875,1942,,Sculptor,Female,American
Giacomo Balla,1871,1958,"Modern Art, Futurism","Painter, Poet",Male,Italian
Gifford Beal,1879,1956,,"Painter, Muralist, Printmaker",Male,American
Gilbert and George,"1943, 1942",,Contemporary Art,"Sculptor, Performance Art",Male,
Gilbert Baker,1951,,Contemporary Art,"Designer, Civil Rights",Male,American
Gilbert Rohde,1894,1944,,"Industrial Designer, Furniture Designer",Male,American
Gilbert Stuart,1755,1828,,Painter,Male,American
Gillian Carnegie,1971,,Contemporary Art,Painter,Female,
Gillian Wearing,1963,,Contemporary Art,Conceptual Art,Female,
Gino Severini,1883,1966,"Modern Art, Futurism",Painter,Male,Italian
Giorgio Ceretti,,,,Industrial Designer,Male,Italian
Giorgio de Chirico,1888,1978,"Modern Art, Metaphysical Art, Surrealism","Painter, Sculptor, Stage Designer",Male,Italian
Giorgio De Vincenzi,1884,1965,Modern Art,"Painter, Printmaker",Male,Italian
Giorgio Morandi,1890,1964,"Modern Art, Metaphysical Art, Futurism","Painter, Printmaker",Male,Italian
Giovanni Anselmo,1934,,"Modern Art, Arte Povera",,Male,Italian
Glenn Brown,1966,,Contemporary Art,,Male,
Gordon Matta-Clark,1943,1978,Modern Art,"Installation Art, Sculptor",Male,American
Gordon Parks,1912,2006,,Photographer,Male,American
Gottfried Helnwein,1948,,Contemporary Art,"Multimedia, Installation Art, Painter, Photographer, Performance Art",Male,
Grace Hartigan,1922,2008,"Modern Art, Abstract Expressionism",Painter,Female,American
Graham Nicholls,1975,,Contemporary Art,Installation Art,Male,
Graham Sutherland,1903,1980,Modern Art,"Printmaker, Textiles",Male,British
Grant Wood,1891,1942,"Modern Art, Regionalism",Painter,Male,American
Grayson Perry,1960,,Contemporary Art,Ceramicist,Male,
Gunther Forg,1952,2013,Contemporary Art,"Painter, Graphic Design, Sculptor, Photographer",Male,
Gunther Gerzso,1915,2000,Modern Art,Painter,Male,Mexican
Gustav Klimt,1862,1918,"Modern Art, Symbolism, Art Nouveau",Painter,Male,Austrian
Gustave Moreau,1826,1898,"Modern Art, Symbolism",Painter,Male,French
Gustave Serrurier-Bovy,1858,1910,Art Nouveau,"Furniture Designer, Architect",Male,Belgian
Guy Bleus,1950,,Contemporary Art,Performance Art,Male,
Guy Denning,1965,,Contemporary Art,Painter,Male,
Guy Pene du Bois,1884,1958,,Painter,Male,American
"H. Bolton Jones, Hugh Bolton Jones",1848,1927,Landscape Painting,Painter,Male,American
Hannah Hoch,1889,1978,"Modern Art, Dadaism",Collagist,Female,German
Hannah Wilke,1940,1993,Contemporary Art,Sculptor,Female,
Hanne Darboven,1941,2009,Contemporary Art,Conceptual Art,Female,
Hans Haacke,1936,,Contemporary Art,Conceptual Art,Male,
Hans Hofmann,1880,1966,"Modern Art, Abstract Expressionism",Painter,Male,"German, American"
Hans-Peter Feldmann,1941,,Contemporary Art,"Photographer, Installation Art",Male,
Haroon Mirza,1977,,Contemporary Art,"Sculptor, Installation Art",Male,
Harriet Goodhue Hosmer,1830,1908,Neoclassicism,Sculptor,Female,American
Harriet Whitney Frishmuth,1880,1980,,Sculptor,Female,American
Harry Dickinson Thrasher,,,,,Male,
Harry Shoulberg,1903,1995,Modern Art,"Painter, Printmaker",Male,American
"Harry W. Watrous, Harry Watrous",1857,1940,,Painter,Male,American
Harun Farocki,1944,2014,Contemporary Art,"Filmaker, Video Art",Male,
Harvey O. Young,,,,,Male,American
Hayley Lever,1875,1958,"Impressionism, Modern Art, Post-Impressionism, Realism",Painter,Male,American
Hector Guimard,1867,1942,Art Nouveau,Architect,Male,French
Hedda Sterne,1910,2011,"Modern Art, Surrealism, Abstract Expressionism","Painter, Printmaker",Female,Romanian
Helen Farnsworth Mears,1872,1916,White Rabbits,Sculptor,Female,American
Helen Frankenthaler,1928,2011,"Modern Art, Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Painter,Female,American
Helen Hughes Dulany,1885,1968,,Industrial Designer,Female,American
Helen Levitt,1913,2009,,Photographer,Female,American
Henri Crenier,1873,1948,,Sculptor,Male,American
Henri Laurens,1885,1954,"Modern Art, Cubism","Sculptor, Illustrator",Male,French
Henri Matisse,1869,1954,"Modern Art, Fauvism, Impressionism","Painter, Sculptor",Male,French
Henri Rousseau,1844,1910,"Modern Art, Post-Impressionism, Primitivism",Painter,Male,French
Henry Alexander,1860,1894,,Painter,Male,American
Henry Augustus Loop,1831,1895,,Painter,Male,American
Henry Benbridge,1743,1812,,Painter,Male,American
Henry Bond,1966,,Contemporary Art,Photographer,Male,
Henry Dreyfuss,1904,1972,,Industrial Designer,Male,American
Henry Hobart Nichols,1869,1962,Landscape Painting,Painter,Male,American
Henry Inman,1801,1846,"Genre Painting, Landscape Painting",Painter,Male,American
Henry Kirke Brown,1814,1886,,Sculptor,Male,American
Henry Linder,,,,,Male,American
Henry Merwin Shrady,1871,1922,,Sculptor,Male,American
Henry Moore,1898,1986,Modern Art,Sculptor,Male,British
Henry Mosler,1841,1920,,Painter,Male,American
Henry Oliver Walker,1843,1929,,Painter,Male,American
Henry Ossawa Tanner,1859,1937,,Painter,Male,American
Henry Pelham,1748,1806,,"Sculptor, Engraver",Male,American
Henry Peters Gray,1819,1877,Genre Painting,Painter,Male,American
Henry Ward Ranger,1858,1916,"Tonalism, Marine Painting, Landscape Painting",Painter,Male,American
Herbert Adams,,,,,Male,American
Herbert Haseltine,1877,1962,,Sculptor,Male,French
Hermon Atkins MacNeil,1866,1947,,Sculptor,Male,American
Hilma af Klint,1862,1944,"Modern Art, Naturalism",Painter,Female,Swedish
Hiram Powers,1805,1873,Neoclassicism,Sculptor,Male,American
Hiroshi Sugimoto,1948,,Contemporary Art,Photographer,Male,
Homer Dodge Martin,1836,1897,Landscape Painting,Painter,Male,American
Horace Pippin,1888,1946,,Painter,Male,American
Horatio Greenough,1805,1852,,Sculptor,Male,American
Howard Hodgkin,1932,,Modern Art,"Painter, Printmaker",Male,British
Hugo Heyrman,1942,,Contemporary Art,"Painter, Multimedia",Male,
I. Rice Pereira,1902,1971,"Modern Art, Geometric Abstraction, Lyrical Abstraction",Painter,Female,American
Ian Davenport,1966,,Contemporary Art,"Painter, Printmaker",Male,
Ida Applebroog,1929,,Contemporary Art,Painter,Female,
"Ignaz Marcel Gaugengigl, Ignaz Gaugengigl",1853,1932,Historical Painting,Painter,Male,American
Ilka Gedo,1921,1985,Modern Art,Painter,Female,Hungarian
Ilya Kabakov,1933,,Contemporary Art,Installation Art,Male,
Imogen Cunningham,1883,1976,,Photographer,Female,American
Ingo Maurer,1932,,,Industrial Designer,Male,German
Irene Belknap,,,,Painter,Female,German
Irene Rice Pereira,1902,1971,Bauhaus,Painter,Female,American
Irving Amen,1918,2011,Modern Art,"Painter, Printmaker, Sculptor",Male,American
Irving Ramsey Wiles,1861,1948,,Painter,Male,American
Isa Genzken,1948,,Contemporary Art,Sculptor,Female,
Isaac Julien,1960,,Contemporary Art,"Filmmaker, Video Art",Male,
Isaac Witkin,1936,2006,Modern Art,Sculptor,Male,South African
Isamu Noguchi,1904,1988,"Modern Art, Biomorphism",Sculptor,Male,American
Isidore Konti,1862,1938,,Sculptor,Male,American
_smet Guney,1932,2009,Modern Art,"Cartoonist, Painter",Male,"Turkish, Cypriot"
Istvan Horkay,1945,,Modern Art,Painter,Male,Hungarian
Ivan Kliun,1873,1943,"Modern Art, Suprematism, Constructivism",Painter,Male,Russian
J. C. wales,,,,,Male,American
J. Carroll Beckwith,1852,1917,Genre Painting,Painter,Male,American
"J. Stanley Connor, Jerome Stanley Connor, Jerome Connor",1874,1943,,Sculptor,Male,"Irish, American"
J. Wilson Alexander MacDonald,,,,,Male,American
Jack Bush,1909,1977,Contemporary Art,Painter,Male,
Jack Goldstein,1945,2003,Contemporary Art,Painter,Male,
Jack Smith,1932,1989,Contemporary Art,"Filmmaker, Video Art",Male,
Jack Whitten,1939,,"Abstract Expressionism, Modern Art",Painter,Male,American
Jack Youngerman,1926,,Contemporary Art,Painter,Male,
Jackson Pollock,1912,1956,"Modern Art, Abstract Expressionism",Painter,Male,American
Jacob Eichholtz,1776,1842,,Painter,Male,American
Jacob Lawrence,1917,2000,Modern Art,Painter,Male,American
Jake and Dinos Chapman,"1966, 1962",,Contemporary Art,,Male,
"James Abbott McNeill Whistler, James McNeill Whistler",1834,1903,"Modern Art, Tonalism",Painter,Male,American
James Brooks,1906,1992,"Modern Art, Abstract Expressionism, Action Painting, Lyrical Abstraction","Painter, Muralist",Male,American
James Casebere,1953,,Contemporary Art,Photographer,Male,
James Earle Fraser,1876,1953,Beaux-Arts,Sculptor,Male,American
James Ensor,1860,1949,"Modern Art, Surrealism, Expressionism",Painter,Male,Belgian
James Guy Evans,,,,,Male,American
James Hamilton,1819,1878,,Painter,Male,American
James Jebusa Shannon,1863,1923,,Painter,Male,American
James M. Hart,1823,1894,"Hudson River School, Landscape Painting",Painter,Male,American
James Peale,1749,1831,,Painter,Male,American
James Rosenquist,1933,,"Modern Art, Pop Art","Painter, Printmaker",Male,American
James Turrell,1943,,Contemporary Art,Installation Art,Male,
Jan de Weryha-Wysoczanski,1950,,Modern Art,Sculptor,Male,Polish
Jan Fabre,1958,,Contemporary Art,,Male,
Jan Martel,1896,1966,"Art Deco, Cubism",Sculptor,Male,French
Jan Nieuwenhuys,1922,1986,"Modern Art, Cobra",Painter,Male,Dutch
Jan Zrzavy,1890,1977,Modern Art,"Painter, Illustrator",Male,Czech
Jane and Louise Wilson,1967,,Contemporary Art,Installation Art,Female,
Jane Frank,1918,1986,"Modern Art, Abstract Expressionism","Painter, Sculptor, Mixed Media, Textile Art",Female,American
Jane Peterson,1876,1965,"American Impressionism, Expressionism",Painter,Female,American
Janet Biggs,1959,,Contemporary Art,"Video Art, Performance Art",Female,
Janet Cardiff,1957,,Contemporary Art,Installation Art,Female,
Janet Scudder,1869,1940,,Sculptor,Female,American
Janine Antoni,1964,,Contemporary Art,"Sculptor, Installation Art",Female,
Jason Rhoades,1965,2006,Contemporary Art,"Installation Art, Sculptor",Male,
Jasper Francis Cropsey,1823,1900,"Hudson River School, Landscape Painting",Painter,Male,American
Jasper Johns,1930,,"Modern Art, Abstract Expressionism, Neo-Dada, Pop Art","Painter, Printmaker, Sculptor",Male,American
Jay DeFeo,1929,1989,Modern Art,Painter,Female,American
"Jean Arp, Jean (Hans) Arp",1886,1966,"Modern Art, Surrealism, Dadaism","Painter, Sculptor, Poet",Male,"German, French"
Jean Dubuffet,1901,1985,"Modern Art, Art Brut","Painter, Sculptor",Male,French
Jean Dunand,1877,1942,Art Deco,Sculptor,Male,French
Jean Helion,1904,1987,"Modern Art, Figurative Art",Painter,Male,French
Jean Metzinger,1883,1956,"Modern Art, Cubism, Fauvism",Painter,Male,French
Jean Tinguely,1925,1991,"Modern Art, Kinetic Art","Painter, Sculptor",Male,Swiss
Jean-Michel Basquiat,1960,1988,Contemporary Art,Painter,Male,
Jean-Michel Sanejouand,1934,,Contemporary Art,"Painter, Sculptor",Male,
Jeff Koons,1949,,Contemporary Art,Conceptual Art,Male,
Jeff Wall,1946,,Contemporary Art,Photographer,Male,
Jefferson D. Chalfant,1856,1931,Trompe L'Oeil,Painter,Male,American
Jennie C. Jones,1968,,Contemporary Art,,Female,
Jennifer Bartlett,1945,,Contemporary Art,Painter,Female,
Jenny Holzer,1950,,Contemporary Art,Conceptual Art,Female,
Jenny Saville,1970,,Contemporary Art,Painter,Female,
Jeremiah Theus,1716,1774,Rococo,Painter,Male,American
Jerome B. Thompson,,,,,Male,American
Jerome Myers,1867,1940,Ashcan School,"Painter, Printmaker",Male,American
Jervis McEntee,1828,1891,"Hudson River School, Landscape Painting",Painter,Male,American
Jesse Richards,1975,,Contemporary Art,"Painting, Photography",Male,
Jesus Rafael Soto,1923,2005,"Modern Art, Kinetic Art","Sculptor, Painter",Male,Venezuelan
Jim Dine,1935,,"Modern Art, Neo-Dada, Pop Art","Painter, Printmaker, Sculptor",Male,American
Jindrich Styrsky,1899,1942,"Modern Art, Surrealism","Painter, Photographer",Male,Czech
Jiro Takamatsu,1936,1998,"Surrealism, Minimalism","Photographer, Sculptor, Painter",Male,Japanese
Jo Baer,1929,,Contemporary Art,Painter,Female,
Jo Davidson,1883,1952,Modern Art,Sculptor,Male,American
Joan Brown,1938,1990,"Modern Art, Bay Area Figurative Movement",Painter,Female,American
Joan Jonas,1936,,Modern Art,"Performance Art, Video Art",Female,American
Joan Miro,1893,1983,"Modern Art, Surrealism, Dadaism","Painter, Sculptor, Muralist",Male,Spanish
Joan Mitchell,1925,1992,"Modern Art, Abstract Expressionism","Painter, Printmaker",Female,American
Joan Snyder,1940,,Modern Art,Painter,Female,American
Joaquin Torres Garcia,1874,1949,"Modern Art, Noucentisme, Constructivism","Painter, Sculptor, Illustrator",Male,"Uruguayan, Catalan"
Joe Colombo,1930,1971,,Industrial Designer,Male,Italian
Joe Stefanelli,1921,,Contemporary Art,Painter,Male,
Joel Shapiro,1941,,Contemporary Art,Sculptor,Male,
Joel-Peter Witkin,1939,,Contemporary Art,Photographer,Male,
Johan Mengels Culverhouse,,,,,,American
John A. Woodside,,,,,Male,American
John Armleder,1948,,Contemporary Art,"Performance Art, Painter, Sculptor",Male,
John Baldessari,1931,,Contemporary Art,Conceptual Art,Male,
John Bradley,,,,,Male,American
John Cederquist,1946,,Contemporary Art,Sculptor,Male,
John Chamberlain,1927,2011,"Modern Art, Abstract Expressionism, Neo-Dada",Sculptor,Male,American
John Duncan,1953,,Contemporary Art,"Performance Art, Installation Art",Male,
John Durand,,,,,Male,American
John F. Peto,1854,1907,,Painter,Male,American
John Ferguson Weir,1841,1926,American Impressionism,Painter,Male,American
John Flanagan,1865,1952,,Sculptor,Male,American
John Francis Murphy,1853,1921,Landscape Painting,Painter,Male,American
John Frederick Kensett,1816,1872,Landscape Painting,Painter,Male,American
John George Brown,1831,1913,,Painter,Male,"British, American"
"John Graham, John D. Graham",1886,1961,Modern Art,Painter,Male,American
John Gregory,,,,,Male,
John Haberle,1856,1933,Trompe L'Oeil,Painter,Male,American
"John Henry Bradley Storrs, John Storrs",1885,1956,Modern Art,Sculptor,Male,American
John Henry Hill,,,,,Male,American
John Henry Twachtman,1853,1902,"Impressionism, Tonalism",Painter,Male,American
John Hesselius,1728,1778,,Painter,Male,American
John Hoyland,1934,2011,Modern Art,Painter,Male,British
John Kane,,,,,Male,American
John La Farge,1835,1910,,"Painter, Muralist",Male,American
John Latham,1921,2006,Modern Art,"Conceptual Art, Painter, Sculptor",Male,British
"John Mare, John Mare, Jr.",1739,1803,,Painter,Male,American
John Marin,1870,1953,Modern Art,Painter,Male,American
John Mix Stanley,1814,1872,Landscape Painting,Painter,Male,American
John Neagle,1796,1865,,Painter,Male,American
John Paradise,,,,,Male,American
John Quidor,1801,1881,Historical Painting,Painter,Male,American
John Quincy Adams Ward,1830,1910,,Sculptor,Male,American
John R. Morgan,,,,,Male,
John Ramage,1748,1802,,Painter,Male,American
John Rasmussen,,,,,Male,American
John Rogers,,,,,Male,American
John Singer Sargent,1856,1925,American Impressionism,Painter,Male,American
John Singleton Copley,1738,1815,,Painter,Male,American
"John Sloan, John French Sloan",1871,1951,"Ashcan School, The Eight","Painter, Printmaker",Male,American
John Smibert,1688,1751,,Painter,Male,American
John Steuart Curry,1897,1946,Regionalism,Painter,Male,American
John Trumbull,1756,1843,,Painter,Male,American
John Vanderlyn,1775,1852,Neoclassicism,Painter,Male,American
John Wesley Jarvis,1780,1839,,Painter,Male,American
John White Alexander,1856,1915,,Painter,Male,American
John William Casilear,1811,1893,"Hudson River School, Landscape Painting",Painter,Male,American
John Wollaston,,,,Painter,Male,British
John Woodhouse Audubon,1812,1852,,Painter,Male,American
Jonathan K. Trego,,,,,Male,American
Jonathan Monk,1969,,Contemporary Art,Conceptual Art,Male,
Jorg Immendorff,1945,2007,Contemporary Art,Painter,Male,
Jose Bernal,1925,2010,"Modern Art, Postmodernism","Painter, Collagist",Male,"Cuban, American"
Jose Luis Cuevas,1934,,Contemporary Art,"Painter, Printmaker, Sculptor",Male,
Josef Albers,1888,1976,"Modern Art, Geometric Abstraction",Painter,Male,American
Josef Capek,1887,1945,"Modern Art, Cubism",Painter,Male,Czech
Josef Hoffmann,1870,1956,Art Deco,"Architect, Designer",Male,Austrian
Josef Mario Korbel,,,,,Male,
Josef Sima,1891,1971,Modern Art,Painter,Male,Czech
Joseph Badger,1707,1765,,Painter,Male,American
Joseph Bartholomew Kidd,,,,,Male,American
Joseph Beuys,1929,1986,Modern Art,"Performance Art, Sculptor",Male,German
Joseph Blackburn,,1787,,Painter,Male,"British, American"
Joseph Cornell,1903,1972,"Modern Art, Surrealism","Assemblage, Sculptor, Filmmaker",Male,American
Joseph Decker,,,,,Male,American
Joseph Garino,,,,,Male,
Joseph H. Hidley,,,,,Male,American
Joseph Kyle,,,,,Male,American
Joseph Stella,1877,1946,"Modern Art, Precisionism, Futurism",Painter,Male,American
Joseph W. McHugh,,,,"Graphic Designer, Printmaker",Male,American
Joseph Whiting Stock,1815,1855,,Painter,Male,American
Joseph Wood,,,,,Male,American
Joshua Johnson,1763,1824,,Painter,Male,American
Joshua Shaw,1776,1860,,Painter,Male,American
Jozef Goslawski,1908,1963,Modern Art,Sculptor,Male,Polish
Juan Gris,1887,1927,"Modern Art, Cubism","Painter, Sculptor",Male,Spanish
Juan Rodriguez Juarez,1675,1728,,Painter,Male,Spanish
Juan Villafuerte,1945,1977,Modern Art,Painter,Male,Ecuadorian
Judy Chicago,1939,,Contemporary Art,"Installation Art, Sculptor",Female,
Judy Pfaff,1946,,Contemporary Art,Installation Art,Female,American
Jules Olitski,1922,2007,"Modern Art, Color Field Painting, Lyrical Abstraction, Abstract Expressionism","Painter, Sculptor, Printmaker",Male,American
Jules Tavernier,1844,1889,Volcano School,Painter,Male,French
Julian Alden Weir,1852,1919,American Impressionism,Painter,Male,American
Julian Lethbridge,1947,,,Painter,Male,British
Julian Opie,1958,,Contemporary Art,Digital Art,Male,
Julian Schnabel,1951,,Contemporary Art,"Painter, Sculptor, Filmmaker",Male,
Julian Stanczak,1928,,Modern Art,"Painter, Printmaker",Male,"Polish, American"
Julije Knifer,1924,2004,Gorgona Group,Painter,Male,Croatian
Julius Rolshoven,1858,1930,Academic Painting,Painter,Male,American
Kai Althoff,1966,,Contemporary Art,"Painter, Sculptor, Video Art, Installation Art",Male,German
Kaloust Guedel,1956,,Contemporary Art,"Painter, Sculptor",Male,
Kara Walker,1969,,Contemporary Art,Installation Art,Female,
Karel Appel,1921,2006,"Modern Art, Cobra","Painter, Sculptor, Poet",Male,Dutch
Karl Klaus,,,,,Male,
Karl Theodore Bitter,1867,1915,,Sculptor,Male,American
"Kasimir Malevich, Kazimir Malevich",1878,1935,"Modern Art, Suprematism",Painter,Male,Russian
"Kay Sage, Katherine Linn Sage, Katherine Sage",1898,1963,Surrealism,Painter,Female,American
Keith Haring,1958,1990,"Modern Art, Pop Art, Graffiti Art",Painter,Male,American
Keith Sonnier,1941,,Contemporary Art,Sculptor,Male,
Keith Tyson,1969,,Contemporary Art,"Painter, Installation Art",Male,
Kem Weber,1889,1963,,"Industrial Designer, Furniture Designer, Architect",Male,American
Kenneth Feingold,1952,,Contemporary Art,Conceptual Art,Male,
Kenneth Noland,1924,2010,"Modern Art, Color Field Painting",Painter,Male,American
Kenneth Price,1935,2012,Contemporary Art,"Ceramicist, Sculptor",Male,
Kenyon Cox,1856,1919,,"Painter, Muralist",Male,American
Keratza Vissulceva,1910,2004,Modern Art,"Painter, Sculptor",Female,Bulgarian
Kerry James Marshall,1955,,Contemporary Art,Painter,Male,
Kiki Smith,1954,,Contemporary Art,"Sculptor, Printmaker",Female,
Kikuji Kawada,1933,,,Photographer,Male,Japanese
Kliment Red'ko,1897,1956,"Modern Art, Constructivism, Suprematism",Painter,Male,Russian
Knox Martin,1923,,"Modern Art, Abstract Expressionism","Painter, Muralist, Sculptor",Male,American
Koloman Moser,1868,1918,"Vienna Secession, Jugendstil, Art Nouveau","Painter, Printmaker, Ceramicist",Male,Austrian
Komar and Melamid,"1943, 1945",,Contemporary Art,Conceptual Art,Male,
Kurt Schwitters,1887,1948,"Modern Art, Merz","Collage, Dance, Sculptor",Male,German
Kyung-hee Hong,1954,,Contemporary Art,Sculptor,Female,South Korean
Laddie John Dill,1943,,Contemporary Art,"Sculptor, Painter, Installation Art",Male,American
Larkin Goldsmith Mead,1835,1910,Neoclassicism,Sculptor,Male,American
Larry Bell,1939,,Contemporary Art,Sculptor,Male,
Larry Poons,1937,,"Modern Art, Color Field Painting, Op Art, Lyrical Abstraction",Painter,Male,American
Larry Rivers,1923,2002,Contemporary Art,"Painter, Multimedia Art",Male,
Larry Zox,1937,2006,"Modern Art, Abstract Expressionism, Color Field Painting, Lyrical Abstraction",Painter,Male,American
Laszlo Moholy-Nagy,1895,1946,"Modern Art, Bauhaus","Painter, Photographer",Male,Hungarian
Launt Thompson,1833,1894,,Sculptor,Male,American
Laure Prouvost,1978,,Contemporary Art,Installation Art,Female,
Laurie Anderson,1947,,Contemporary Art,Performance Art,Female,
Lawrence Daws,1927,,Modern Art,"Painter, Printmaker",Male,Australian
"Lawrence Kilburn, Lawrence Kilbrunn, Lawrence Kilbourn",1720,1775,,Painter,Male,American
Lawrence Weiner,1942,,Contemporary Art,Conceptual Art,Male,
Lee Bontecou,1931,,Modern Art,"Sculptor, Printmaker",Female,American
Lee Bul,1964,,Contemporary Art,"Sculptor, Installation Art, Conceptual Art",Female,
Lee Friedlander,1934,,,Photographer,Male,American
Lee Krasner,1908,1984,"Modern Art, Abstract Expressionism",Painter,Female,American
Lee Lozano,1930,1999,Contemporary Art,Painter,Female,
Leiko Ikemura,1951,,Modern Art,"Painter, Sculptor",Female,Japanese
Leon Dabo,1864,1960,"Modern Art, Tonalism",Painter,Male,American
Leon Ferrari,1920,2013,Modern Art,Conceptual Art,Male,Argentinian
Leon Golub,1922,2004,Contemporary Art,Painter,Male,
Leon Levinstein,1910,1988,,Photographer,Male,American
Leon Polk Smith,1906,1996,Modern Art,Painter,Male,American
Leonard Wells Volk,1828,1895,,Sculptor,Male,American
Leonora Carrington,1917,2011,Surrealism,"Painter, Novelist",Female,Mexican
Liam Gillick,1964,,Contemporary Art,Conceptual Art,Male,
Lilian Westcott Hale,1880,1963,American Impressionism,Painter,Female,American
Lilly Martin Spencer,1822,1902,Genre Painting,Painter,Female,American
Liubov Popova,1889,1924,"Modern Art, Suprematism, Constructivism",Painter,Male,Russian
Lodewijk Tieling,,,,,Male,American
Lorna Simpson,1960,,Contemporary Art,,Female,
Louis Amateis,1855,1913,,Sculptor,Male,American
Louis Comfort Tiffany,1848,1933,Art Nouveau,"Decorative Artist, Stained Glass, Ceramicist",Male,American
Louis Faurer,1916,2001,,Photographer,Male,American
Louis I. Kahn,1901,1974,,Architect,Male,American
Louis Kronberg,1872,1965,,Painter,Male,American
Louis Majorelle,1859,1926,Art Nouveau,Furniture Designer,Male,French
Louis McClellan Potter,,,,,Male,American
Louis Michel Eilshemius,1864,1941,,Painter,Male,American
Louis Moeller,1855,1930,Genre Painting,Painter,Male,American
"Louis St. Gaudens, Louis Saint-Gaudens",1854,1913,Beaux-Arts,Sculptor,Male,American
